date_code,swemwbs_score,type_of_tenure,household_type,age,gender,limiting_condition
2016,25.94,All,All,16-34 years,All,All
2016,26.15,All,All,16-34 years,All,All
2016,24.85,All,All,35-64 years,All,All
2016,24.44,All,All,35-64 years,All,All
2016,25.09,All,All,16-34 years,All,All
2016,24.66,All,All,35-64 years,All,All
2016,25.33,All,All,16-34 years,All,All
2016,24.61,All,All,16-34 years,All,All
2016,24.95,All,All,35-64 years,All,All
2016,25.75,All,All,16-34 years,All,All
2016,25.93,All,All,35-64 years,All,All
2016,28.13,All,All,16-34 years,All,All
2016,26.35,All,All,35-64 years,All,All
2016,24.46,All,All,35-64 years,All,All
2015,25.97,All,All,65 years and over,All,All
2014,25.05,All,All,65 years and over,All,All
2016,24.73,All,All,65 years and over,All,All
2016,25.75,All,All,65 years and over,All,All
2014,25.72,All,All,65 years and over,All,All
2016,23.87,All,All,16-64 years,All,All
2016,24.77,All,All,16-64 years,All,All
2016,25.73,All,All,16-64 years,All,All
2016,25.76,All,All,16-64 years,All,All
2016,25.11,All,All,16-64 years,All,All
2016,24.94,All,All,16-64 years,All,All
2016,24.34,All,All,16-64 years,All,All
2016,24.66,All,All,16-64 years,All,All
2016,25.21,All,All,16-64 years,All,All
2016,25.47,All,All,16-64 years,All,All
2016,24.42,All,All,16-64 years,All,All
2016,25.29,All,All,16-64 years,All,All
2016,24.98,All,All,16-64 years,All,All
2016,25.64,All,All,16-64 years,All,All
2016,24.98,All,All,16-64 years,All,All
2016,24.82,All,All,16-64 years,All,All
2016,24.81,All,All,16-64 years,All,All
2016,24.49,All,All,16-64 years,All,All
2016,24.62,All,All,16-64 years,All,All
2016,24.42,All,All,16-64 years,All,All
2016,24.59,All,All,16-64 years,All,All
2016,24.65,All,All,16-64 years,All,All
2016,25.28,All,All,16-64 years,All,All
2016,24.35,All,All,16-64 years,All,All
2016,24.8,All,All,16-64 years,All,All
2016,25.02,All,All,16-64 years,All,All
2016,24.98,All,All,16-64 years,All,All
2016,25.32,All,All,16-64 years,All,All
2016,26.52,All,All,16-64 years,All,All
2016,24.25,All,All,16-64 years,All,All
2016,24.79,All,All,16-64 years,All,All
2016,24.46,All,All,16-64 years,All,All
2016,24.98,All,All,16-64 years,All,All
2016,24.25,All,All,35-64 years,All,All
2016,25.64,All,All,16-64 years,All,All
2016,26.52,All,All,16-64 years,All,All
2016,24.52,All,All,16-64 years,All,All
2016,24.49,All,All,16-64 years,All,All
2016,24.78,All,All,16-34 years,All,All
2016,24.95,All,All,16-64 years,All,All
2016,25.14,All,All,35-64 years,All,All
2016,24.45,All,All,16-64 years,All,All
2016,24.56,All,All,16-64 years,All,All
2016,24.76,All,All,65 years and over,All,All
2015,25.06,All,All,65 years and over,All,All
2015,24.18,All,All,65 years and over,All,All
2014,24.47,All,All,65 years and over,All,All
2016,24.78,All,All,65 years and over,All,All
2014,25.22,All,All,65 years and over,All,All
2016,24.88,All,All,65 years and over,All,All
2015,25.87,All,All,65 years and over,All,All
2014,24.6,All,All,65 years and over,All,All
2016,25.3,All,All,65 years and over,All,All
2016,24.32,All,All,16-64 years,All,All
2016,25.29,All,All,16-64 years,All,All
2015,25.09,All,All,65 years and over,All,All
2016,25.21,All,All,16-64 years,All,All
2016,24.68,All,All,65 years and over,All,All
2015,24.68,All,All,65 years and over,All,All
2014,25.04,All,All,65 years and over,All,All
2014,24.63,All,All,65 years and over,All,All
2016,24.31,All,All,35-64 years,All,All
2016,24.69,All,All,35-64 years,All,All
2016,25.3,All,All,35-64 years,All,All
2016,25.9,All,All,16-34 years,All,All
2016,25.44,All,All,16-34 years,All,All
2016,24.37,All,All,16-34 years,All,All
2016,25.7,All,All,16-34 years,All,All
2016,25.05,All,All,16-34 years,All,All
2016,24.97,All,All,35-64 years,All,All
2016,25.31,All,All,35-64 years,All,All
2016,25.63,All,All,16-34 years,All,All
2016,27.44,All,All,16-34 years,All,All
2016,26.21,All,All,16-34 years,All,All
2016,25.05,All,All,35-64 years,All,All
2016,24.43,All,All,35-64 years,All,All
2016,24.85,All,All,16-34 years,All,All
2014,25.19,All,All,16-34 years,All,All
2015,25.44,All,All,16-34 years,All,All
2014,24.44,All,All,35-64 years,All,All
2015,24.53,All,All,35-64 years,All,All
2015,25.03,All,All,35-64 years,All,All
2015,24.77,All,All,16-64 years,All,All
2014,24.89,All,All,16-64 years,All,All
2015,24.7,All,All,16-34 years,All,All
2014,24.81,All,All,35-64 years,All,All
2015,24.74,All,All,16-64 years,All,All
2014,24.6,All,All,16-64 years,All,All
2016,25.89,All,All,35-64 years,All,All
2016,24.09,All,All,35-64 years,All,All
2016,26.2,All,All,16-34 years,All,All
2016,24.38,All,All,16-34 years,All,All
2016,25.66,All,All,16-34 years,All,All
2016,25.88,All,All,16-34 years,All,All
2016,24.26,All,All,35-64 years,All,All
2016,25.31,All,All,35-64 years,All,All
2016,24.56,All,All,16-34 years,All,All
2016,25.03,All,All,35-64 years,All,All
2016,25.81,All,All,16-34 years,All,All
2016,25.93,All,All,35-64 years,All,All
2016,24.01,All,All,35-64 years,All,All
2016,24.44,All,All,35-64 years,All,All
2016,25.14,All,All,16-34 years,All,All
2016,24.88,All,All,35-64 years,All,All
2016,25.75,All,All,16-34 years,All,All
2016,25.09,All,All,35-64 years,All,All
2016,25.19,All,All,35-64 years,All,All
2016,24.67,All,All,16-34 years,All,All
2016,25.67,All,All,16-34 years,All,All
2016,24.7,All,All,35-64 years,All,All
2016,24.31,All,All,16-34 years,All,All
2016,23.87,All,All,35-64 years,All,All
2016,24.51,All,All,35-64 years,All,All
2016,24.8,All,All,35-64 years,All,All
2016,25.02,All,All,35-64 years,All,All
2016,25.28,All,All,35-64 years,All,All
2016,24.73,All,All,16-34 years,All,All
2016,25.38,All,All,16-34 years,All,All
2016,25.21,All,All,16-34 years,All,All
2016,25.94,All,All,16-34 years,All,All
2016,26.77,All,All,16-34 years,All,All
2016,24.62,All,All,35-64 years,All,All
2016,26.59,All,All,16-34 years,All,All
2016,25.07,All,All,16-34 years,All,All
2016,24.99,All,All,35-64 years,All,All
2016,24.85,All,All,35-64 years,All,All
2016,26.35,All,All,35-64 years,All,All
2016,25.04,All,All,35-64 years,All,All
2016,25.14,All,All,35-64 years,All,All
2016,25.93,All,All,16-34 years,All,All
2016,24.5,All,All,16-34 years,All,All
2016,28.13,All,All,16-34 years,All,All
2016,26.15,All,All,16-34 years,All,All
2016,24.66,All,All,35-64 years,All,All
2014,25.11,All,All,16-64 years,All,All
2014,24.83,All,All,16-64 years,All,All
2014,26.34,All,All,16-64 years,All,All
2014,25.39,All,All,16-64 years,All,All
2014,25.57,All,All,16-64 years,All,All
2014,25.14,All,All,16-64 years,All,All
2014,25.2,All,All,16-64 years,All,All
2015,24.2,All,All,16-64 years,All,All
2014,25.01,All,All,16-64 years,All,All
2014,26.66,All,All,16-64 years,All,All
2014,24.27,All,All,16-64 years,All,All
2014,24.44,All,All,16-64 years,All,All
2014,24.32,All,All,16-64 years,All,All
2014,24.88,All,All,16-64 years,All,All
2014,25.89,All,All,16-64 years,All,All
2014,25.8,All,All,16-64 years,All,All
2014,24.38,All,All,16-64 years,All,All
2014,25.11,All,All,16-64 years,All,All
2014,26.1,All,All,16-64 years,All,All
2015,26.33,All,All,16-64 years,All,All
2014,24.55,All,All,16-64 years,All,All
2015,24.53,All,All,16-64 years,All,All
2014,25.02,All,All,16-64 years,All,All
2015,24.64,All,All,16-64 years,All,All
2015,24.78,All,All,16-64 years,All,All
2015,25.11,All,All,16-64 years,All,All
2015,25.97,All,All,16-64 years,All,All
2015,25.58,All,All,16-64 years,All,All
2015,24.95,All,All,16-64 years,All,All
2015,24.93,All,All,16-64 years,All,All
2015,24.88,All,All,16-64 years,All,All
2015,24.68,All,All,16-64 years,All,All
2015,25.84,All,All,16-64 years,All,All
2015,25.41,All,All,16-64 years,All,All
2015,25.01,All,All,16-64 years,All,All
2015,24.63,All,All,16-64 years,All,All
2015,25.33,All,All,16-64 years,All,All
2015,24.45,All,All,16-64 years,All,All
2015,25,All,All,16-64 years,All,All
2015,24.91,All,All,16-64 years,All,All
2014,25.46,All,All,16-64 years,All,All
2014,24.48,All,All,16-64 years,All,All
2014,24.01,All,All,16-64 years,All,All
2014,27.28,All,All,16-64 years,All,All
2014,25.76,All,All,16-64 years,All,All
2014,24.69,All,All,16-64 years,All,All
2014,25.44,All,All,16-64 years,All,All
2014,26,All,All,16-64 years,All,All
2014,25.16,All,All,16-64 years,All,All
2015,25.27,All,All,16-64 years,All,All
2015,27.36,All,All,16-64 years,All,All
2015,25.09,All,All,16-64 years,All,All
2015,24.8,All,All,16-64 years,All,All
2015,24.69,All,All,16-64 years,All,All
2015,24.94,All,All,16-64 years,All,All
2015,25.23,All,All,16-64 years,All,All
2015,26.37,All,All,16-64 years,All,All
2015,25.19,All,All,16-64 years,All,All
2015,24.86,All,All,16-34 years,All,All
2015,24.91,All,All,16-64 years,All,All
2014,24.97,All,All,16-64 years,All,All
2015,25.18,All,All,35-64 years,All,All
2014,26.61,All,All,16-34 years,All,All
2014,25.79,All,All,16-64 years,All,All
2014,25.35,All,All,16-64 years,All,All
2015,24.29,All,All,16-64 years,All,All
2015,24.91,All,All,16-64 years,All,All
2015,24.69,All,All,16-64 years,All,All
2015,26.12,All,All,16-64 years,All,All
2015,25.05,All,All,16-64 years,All,All
2015,24.9,All,All,16-64 years,All,All
2015,25.58,All,All,16-64 years,All,All
2014,24.68,All,All,16-64 years,All,All
2014,24.92,All,All,16-64 years,All,All
2014,27.09,All,All,16-64 years,All,All
2015,24.29,All,All,16-64 years,All,All
2015,25.22,All,All,16-64 years,All,All
2015,25.04,All,All,16-64 years,All,All
2014,24.96,All,All,16-64 years,All,All
2014,24.95,All,All,16-64 years,All,All
2015,26.04,All,All,16-34 years,All,All
2015,24.97,All,All,35-64 years,All,All
2015,25.14,All,All,16-64 years,All,All
2014,25.5,All,All,16-64 years,All,All
2014,25.71,All,All,16-34 years,All,All
2014,24.81,All,All,35-64 years,All,All
2014,25.3,All,All,35-64 years,All,All
2014,25.44,All,All,16-34 years,All,All
2014,24.68,All,All,65 years and over,All,All
2014,25.22,All,All,16-64 years,All,All
2017,25.27,All,All,16-64 years,All,All
2016,25.01,All,All,65 years and over,All,All
2016,24.92,All,All,65 years and over,All,All
2016,24.52,All,All,16-34 years,All,All
2017,24.69,All,All,16-64 years,All,All
2017,25.51,All,All,16-64 years,All,All
2015,24.66,All,All,65 years and over,All,All
2014,24.59,All,All,16-64 years,All,All
2017,24.99,All,All,16-64 years,All,All
2015,24.07,All,All,16-64 years,All,All
2015,25.47,All,All,35-64 years,All,All
2015,24.85,All,All,16-34 years,All,All
2015,25.56,All,All,16-34 years,All,All
2015,25.13,All,All,35-64 years,All,All
2015,25.05,All,All,35-64 years,All,All
2015,24.95,All,All,35-64 years,All,All
2015,24.09,All,All,35-64 years,All,All
2015,26.05,All,All,16-34 years,All,All
2015,24.99,All,All,16-34 years,All,All
2015,25.22,All,All,16-34 years,All,All
2015,24.89,All,All,16-34 years,All,All
2015,24.72,All,All,35-64 years,All,All
2014,25.05,All,All,16-34 years,All,All
2014,25.61,All,All,16-34 years,All,All
2014,24.99,All,All,35-64 years,All,All
2014,24.58,All,All,35-64 years,All,All
2014,25.21,All,All,16-34 years,All,All
2014,24.97,All,All,35-64 years,All,All
2014,24.71,All,All,35-64 years,All,All
2014,25.17,All,All,16-34 years,All,All
2014,26.42,All,All,16-34 years,All,All
2014,24.32,All,All,35-64 years,All,All
2015,26.01,All,All,16-34 years,All,All
2014,25.17,All,All,16-64 years,All,All
2015,25.33,All,All,16-34 years,All,All
2014,24.7,All,All,16-64 years,All,All
2014,24.02,All,All,16-64 years,All,All
2015,26.49,All,All,35-64 years,All,All
2015,26.62,All,All,16-34 years,All,All
2015,25,All,All,35-64 years,All,All
2015,25.32,All,All,35-64 years,All,All
2014,23.73,All,All,16-34 years,All,All
2014,26.23,All,All,35-64 years,All,All
2014,24.78,All,All,35-64 years,All,All
2015,24.33,All,All,35-64 years,All,All
2015,24.52,All,All,16-34 years,All,All
2014,27.69,All,All,16-34 years,All,All
2014,26.02,All,All,35-64 years,All,All
2014,26.01,All,All,16-34 years,All,All
2014,25.3,All,All,16-34 years,All,All
2014,29.98,All,All,16-34 years,All,All
2014,24.84,All,All,35-64 years,All,All
2014,24.84,All,All,35-64 years,All,All
2015,26.35,All,All,16-34 years,All,All
2015,24.71,All,All,35-64 years,All,All
2015,24.58,All,All,16-34 years,All,All
2015,24.99,All,All,35-64 years,All,All
2015,24.27,All,All,16-34 years,All,All
2015,25.57,All,All,35-64 years,All,All
2014,26.17,All,All,16-34 years,All,All
2014,26.85,All,All,16-34 years,All,All
2014,26.46,All,All,16-34 years,All,All
2014,25.1,All,All,35-64 years,All,All
2014,26.14,All,All,35-64 years,All,All
2014,24.15,All,All,16-34 years,All,All
2014,28.35,All,All,16-34 years,All,All
2014,25.17,All,All,35-64 years,All,All
2014,24.93,All,All,16-34 years,All,All
2014,25.3,All,All,16-34 years,All,All
2014,25.06,All,All,35-64 years,All,All
2014,25.4,All,All,16-34 years,All,All
2014,26.27,All,All,35-64 years,All,All
2014,26.13,All,All,35-64 years,All,All
2014,24.65,All,All,35-64 years,All,All
2014,23.85,All,All,35-64 years,All,All
2014,26.78,All,All,16-34 years,All,All
2014,24.52,All,All,35-64 years,All,All
2014,26.48,All,All,16-34 years,All,All
2014,24.78,All,All,35-64 years,All,All
2014,26.49,All,All,35-64 years,All,All
2014,24.97,All,All,35-64 years,All,All
2014,30.17,All,All,16-34 years,All,All
2014,25.36,All,All,16-34 years,All,All
2014,24.94,All,All,35-64 years,All,All
2014,25,All,All,16-34 years,All,All
2014,25.74,All,All,35-64 years,All,All
2015,25.13,All,All,16-34 years,All,All
2015,25.32,All,All,35-64 years,All,All
2015,25.07,All,All,35-64 years,All,All
2015,25.09,All,All,35-64 years,All,All
2015,24.76,All,All,35-64 years,All,All
2015,25.9,All,All,35-64 years,All,All
2015,24.85,All,All,35-64 years,All,All
2015,25.44,All,All,35-64 years,All,All
2015,25.17,All,All,16-34 years,All,All
2015,24.43,All,All,35-64 years,All,All
2015,25.79,All,All,16-34 years,All,All
2015,26.03,All,All,16-34 years,All,All
2015,27.74,All,All,16-34 years,All,All
2015,25.15,All,All,35-64 years,All,All
2015,25.38,All,All,16-34 years,All,All
2015,25.33,All,All,16-34 years,All,All
2015,25.23,All,All,35-64 years,All,All
2015,25.49,All,All,16-34 years,All,All
2015,24.89,All,All,35-64 years,All,All
2015,26.46,All,All,16-34 years,All,All
2015,25.07,All,All,35-64 years,All,All
2015,25.11,All,All,16-34 years,All,All
2015,24.71,All,All,35-64 years,All,All
2015,25.57,All,All,16-34 years,All,All
2015,25.56,All,All,35-64 years,All,All
2015,25.34,All,All,16-34 years,All,All
2015,25.66,All,All,35-64 years,All,All
2015,24.49,All,All,16-34 years,All,All
2015,25.13,All,All,35-64 years,All,All
2015,25.99,All,All,16-34 years,All,All
2015,26.7,All,All,35-64 years,All,All
2015,27.05,All,All,16-34 years,All,All
2015,25.51,All,All,35-64 years,All,All
2015,24.54,All,All,35-64 years,All,All
2015,24.23,All,All,35-64 years,All,All
2015,25.5,All,All,16-34 years,All,All
2015,24.86,All,All,16-34 years,All,All
2015,25.79,All,All,16-34 years,All,All
2015,25.58,All,All,16-34 years,All,All
2015,27.4,All,All,35-64 years,All,All
2015,26.41,All,All,16-34 years,All,All
2015,24.76,All,All,16-34 years,All,All
2015,27.98,All,All,16-34 years,All,All
2015,24.14,All,All,35-64 years,All,All
2015,27.34,All,All,16-34 years,All,All
2015,25.29,All,All,35-64 years,All,All
2015,24.62,All,All,35-64 years,All,All
2015,25.42,All,All,16-34 years,All,All
2015,24.91,All,All,35-64 years,All,All
2015,25,All,All,16-34 years,All,All
2015,26.2,All,All,35-64 years,All,All
2015,24.93,All,All,16-34 years,All,All
2014,24.83,All,All,16-34 years,All,All
2014,24.44,All,All,35-64 years,All,All
2014,25.59,All,All,16-34 years,All,All
2014,26.17,All,All,35-64 years,All,All
2014,24.17,All,All,16-34 years,All,All
2014,26.84,All,All,16-34 years,All,All
2014,28.59,All,All,16-34 years,All,All
2014,26.25,All,All,16-34 years,All,All
2014,24.22,All,All,35-64 years,All,All
2014,24.86,All,All,35-64 years,All,All
2014,25.62,All,All,35-64 years,All,All
2014,25.74,All,All,16-34 years,All,All
2014,25.06,All,All,35-64 years,All,All
2014,27.39,All,All,16-34 years,All,All
2014,25.67,All,All,35-64 years,All,All
2014,24.64,All,All,35-64 years,All,All
2014,26.51,All,All,16-34 years,All,All
2014,26.11,All,All,16-34 years,All,All
2014,23.81,All,All,35-64 years,All,All
2014,25.3,All,All,16-34 years,All,All
2014,24.74,All,All,35-64 years,All,All
2014,25.1,All,All,16-34 years,All,All
2014,24.81,All,All,35-64 years,All,All
2014,27.96,All,All,16-34 years,All,All
2014,26.04,All,All,35-64 years,All,All
2014,25.08,All,All,16-34 years,All,All
2014,24.08,All,All,35-64 years,All,All
2014,26.47,All,All,35-64 years,All,All
2014,26.05,All,All,16-34 years,All,All
2014,24.54,All,All,16-34 years,All,All
2014,25.03,All,All,35-64 years,All,All
2016,24.11,All,All,35-64 years,All,All
2016,24.77,All,All,16-34 years,All,All
2016,24.02,All,All,35-64 years,All,All
2016,24.28,All,All,16-34 years,All,All
2016,23.83,All,All,35-64 years,All,All
2016,24.05,All,All,35-64 years,All,All
2016,24.33,All,All,16-34 years,All,All
2016,24.34,All,All,16-34 years,All,All
2017,24.29,All,All,65 years and over,All,All
2017,25.18,All,All,16-34 years,All,All
2017,24.57,All,All,65 years and over,All,All
2017,24.32,All,All,35-64 years,All,All
2017,24.53,All,All,16-34 years,All,All
2017,24.38,All,All,35-64 years,All,All
2016,24.21,All,All,35-64 years,All,All
2016,24.22,All,All,16-34 years,All,All
2016,24.29,All,All,16-34 years,All,All
2016,24.56,All,All,35-64 years,All,All
2016,24.74,All,All,16-34 years,All,All
2016,24.61,All,All,35-64 years,All,All
2016,25.39,All,All,35-64 years,All,All
2016,25.38,All,All,16-34 years,All,All
2016,24.74,All,All,16-34 years,All,All
2016,24.37,All,All,35-64 years,All,All
2016,25.02,All,All,35-64 years,All,All
2016,25.23,All,All,16-34 years,All,All
2016,24.63,All,All,16-34 years,All,All
2016,24.7,All,All,35-64 years,All,All
2017,23.39,All,All,16-34 years,All,All
2017,24.65,All,All,65 years and over,All,All
2017,24.06,All,All,35-64 years,All,All
2017,24.14,All,All,35-64 years,All,All
2017,23.1,All,All,35-64 years,All,All
2017,24,All,All,35-64 years,All,All
2017,24.34,All,All,65 years and over,All,All
2017,24.7,All,All,16-34 years,All,All
2017,24.06,All,All,16-34 years,All,All
2017,25.22,All,All,16-34 years,All,All
2017,23.88,All,All,35-64 years,All,All
2017,23.07,All,All,16-34 years,All,All
2017,24.19,All,All,65 years and over,All,All
2017,24.19,All,All,65 years and over,All,All
2017,24.93,All,All,35-64 years,All,All
2017,23.78,All,All,65 years and over,All,All
2017,23.67,All,All,16-34 years,All,All
2017,24.34,All,All,16-34 years,All,All
2017,23.96,All,All,35-64 years,All,All
2017,24.93,All,All,65 years and over,All,All
2017,23.73,All,All,16-34 years,All,All
2017,23.21,All,All,16-34 years,All,All
2017,24.35,All,All,65 years and over,All,All
2017,24.42,All,All,65 years and over,All,All
2017,23.4,All,All,35-64 years,All,All
2017,24.01,All,All,35-64 years,All,All
2017,24.45,All,All,35-64 years,All,All
2017,23.59,All,All,65 years and over,All,All
2017,23.97,All,All,16-34 years,All,All
2016,24.66,All,All,16-64 years,All,All
2016,24.26,All,All,16-64 years,All,All
2016,23.73,All,All,16-64 years,All,All
2016,24.16,All,All,16-64 years,All,All
2016,24.75,All,All,16-64 years,All,All
2016,24,All,All,16-64 years,All,All
2016,24.41,All,All,16-64 years,All,All
2016,24.42,All,All,16-64 years,All,All
2016,24.66,All,All,16-64 years,All,All
2016,24.3,All,All,16-64 years,All,All
2016,25.39,All,All,16-64 years,All,All
2016,24,All,All,16-64 years,All,All
2016,24.15,All,All,16-64 years,All,All
2016,23.92,All,All,16-64 years,All,All
2016,24.57,All,All,16-64 years,All,All
2016,23.99,All,All,16-64 years,All,All
2016,23.82,All,All,16-64 years,All,All
2016,24.2,All,All,16-64 years,All,All
2016,24.26,All,All,16-64 years,All,All
2016,24.25,All,All,16-64 years,All,All
2016,24.91,All,All,16-64 years,All,All
2016,24.34,All,All,16-64 years,All,All
2016,24,All,All,16-64 years,All,All
2016,24.31,All,All,16-64 years,All,All
2016,24.62,All,All,16-64 years,All,All
2016,24.9,All,All,16-64 years,All,All
2016,24.25,All,All,16-64 years,All,All
2016,25.39,All,All,16-64 years,All,All
2016,24.3,All,All,16-64 years,All,All
2016,24.16,All,All,16-34 years,All,All
2016,23.88,All,All,35-64 years,All,All
2016,24.15,All,All,16-64 years,All,All
2016,24.66,All,All,16-64 years,All,All
2016,23.99,All,All,16-64 years,All,All
2016,24.11,All,All,16-64 years,All,All
2016,24.91,All,All,16-64 years,All,All
2017,24.58,All,All,35-64 years,All,All
2017,25.2,All,All,65 years and over,All,All
2017,23.96,All,All,35-64 years,All,All
2017,24.17,All,All,35-64 years,All,All
2017,24.57,All,All,65 years and over,All,All
2017,24.27,All,All,16-34 years,All,All
2017,24,All,All,35-64 years,All,All
2017,24.34,All,All,16-34 years,All,All
2017,24.08,All,All,35-64 years,All,All
2017,24.67,All,All,16-34 years,All,All
2017,23.59,All,All,65 years and over,All,All
2017,23.72,All,All,16-34 years,All,All
2017,24.52,All,All,65 years and over,All,All
2017,24.31,All,All,65 years and over,All,All
2017,23.29,All,All,16-34 years,All,All
2017,25.03,All,All,65 years and over,All,All
2017,24.51,All,All,65 years and over,All,All
2017,24.8,All,All,65 years and over,All,All
2017,24.97,All,All,16-34 years,All,All
2017,24.59,All,All,35-64 years,All,All
2017,24.38,All,All,35-64 years,All,All
2017,24.53,All,All,35-64 years,All,All
2017,25.18,All,All,16-34 years,All,All
2017,23.94,All,All,65 years and over,All,All
2017,24.2,All,All,16-34 years,All,All
2017,24.2,All,All,16-34 years,All,All
2017,25.08,All,All,35-64 years,All,All
2017,25.97,All,All,65 years and over,All,All
2017,24.9,All,All,35-64 years,All,All
2017,24.5,All,All,65 years and over,All,All
2017,23.49,All,All,16-64 years,All,All
2017,24.17,All,All,35-64 years,All,All
2017,24.01,All,All,16-64 years,All,All
2017,24.16,All,All,16-64 years,All,All
2017,23.8,All,All,16-64 years,All,All
2017,24.08,All,All,16-64 years,All,All
2017,24.74,All,All,16-64 years,All,All
2017,24.48,All,All,16-64 years,All,All
2017,24.09,All,All,16-64 years,All,All
2017,24.36,All,All,16-64 years,All,All
2017,24.64,All,All,16-64 years,All,All
2017,23.99,All,All,35-64 years,All,All
2017,24.14,All,All,16-34 years,All,All
2017,24.35,All,All,65 years and over,All,All
2017,23.5,All,All,16-34 years,All,All
2017,24.61,All,All,16-64 years,All,All
2017,24.13,All,All,16-64 years,All,All
2017,24.79,All,All,16-64 years,All,All
2017,24.61,All,All,65 years and over,All,All
2017,24.2,All,All,35-64 years,All,All
2017,24.58,All,All,16-34 years,All,All
2017,22.86,All,All,16-34 years,All,All
2017,23.49,All,All,35-64 years,All,All
2017,24.19,All,All,65 years and over,All,All
2017,23.37,All,All,16-34 years,All,All
2017,23.91,All,All,16-34 years,All,All
2017,23.99,All,All,35-64 years,All,All
2017,24.41,All,All,16-34 years,All,All
2017,24.27,All,All,65 years and over,All,All
2017,23.99,All,All,16-34 years,All,All
2017,24.08,All,All,65 years and over,All,All
2017,23.74,All,All,35-64 years,All,All
2017,23.72,All,All,16-34 years,All,All
2017,23.99,All,All,35-64 years,All,All
2017,24.17,All,All,35-64 years,All,All
2017,24.52,All,All,65 years and over,All,All
2017,24.9,All,All,65 years and over,All,All
2017,24.26,All,All,35-64 years,All,All
2017,23.63,All,All,16-34 years,All,All
2017,24.55,All,All,65 years and over,All,All
2017,24.79,All,All,65 years and over,All,All
2017,24.39,All,All,35-64 years,All,All
2017,24.56,All,All,65 years and over,All,All
2017,23.78,All,All,35-64 years,All,All
2017,24.59,All,All,16-34 years,All,All
2017,24.46,All,All,16-34 years,All,All
2017,24.65,All,All,35-64 years,All,All
2017,25.53,All,All,35-64 years,All,All
2017,26.26,All,All,65 years and over,All,All
2017,24.81,All,All,65 years and over,All,All
2017,25.71,All,All,16-34 years,All,All
2017,25.36,All,All,65 years and over,All,All
2017,25.19,All,All,65 years and over,All,All
2017,24.44,All,All,35-64 years,All,All
2017,24.67,All,All,16-34 years,All,All
2017,24.28,All,All,65 years and over,All,All
2017,23.94,All,All,65 years and over,All,All
2017,24.8,All,All,16-34 years,All,All
2017,24.89,All,All,16-34 years,All,All
2017,23.72,All,All,16-34 years,All,All
2017,24.45,All,All,35-64 years,All,All
2017,24.86,All,All,65 years and over,All,All
2017,25.2,All,All,65 years and over,All,All
2017,24.58,All,All,35-64 years,All,All
2017,25.97,All,All,65 years and over,All,All
2017,24.35,All,All,16-34 years,All,All
2017,24.53,All,All,35-64 years,All,All
2017,25.61,All,All,16-34 years,All,All
2017,24.87,All,All,35-64 years,All,All
2017,24.9,All,All,35-64 years,All,All
2017,23.67,All,All,35-64 years,All,All
2017,24.35,All,All,65 years and over,All,All
2017,23.29,All,All,16-34 years,All,All
2015,24.49,All,All,16-34 years,All,All
2014,24.65,All,All,16-64 years,All,All
2015,24.31,All,All,35-64 years,All,All
2015,24.38,All,All,16-64 years,All,All
2014,24.51,All,All,35-64 years,All,All
2014,25.21,All,All,16-34 years,All,All
2014,24.95,All,All,65 years and over,All,All
2014,25.15,All,All,65 years and over,All,All
2016,24.11,All,All,65 years and over,All,All
2016,25.58,All,All,65 years and over,All,All
2015,25.31,All,All,65 years and over,All,All
2015,25.48,All,All,65 years and over,All,All
2016,25.49,All,All,65 years and over,All,All
2016,24.24,All,All,35-64 years,All,All
2016,24.48,All,All,16-34 years,All,All
2015,23.86,All,All,65 years and over,All,All
2015,23.89,All,All,65 years and over,All,All
2015,24.16,All,All,65 years and over,All,All
2016,24.81,All,All,65 years and over,All,All
2014,24.12,All,All,65 years and over,All,All
2016,24.76,All,All,65 years and over,All,All
2014,25.33,All,All,65 years and over,All,All
2015,25.39,All,All,65 years and over,All,All
2014,24.73,All,All,65 years and over,All,All
2015,25.23,All,All,65 years and over,All,All
2016,24.18,All,All,65 years and over,All,All
2014,23.51,All,All,65 years and over,All,All
2016,24.57,All,All,65 years and over,All,All
2015,25.25,All,All,65 years and over,All,All
2014,24.24,All,All,65 years and over,All,All
2016,24.53,All,All,65 years and over,All,All
2016,24.32,All,All,16-64 years,All,All
2015,24.7,All,All,16-34 years,All,All
2015,24.66,All,All,35-64 years,All,All
2015,24.16,All,All,35-64 years,All,All
2015,25.83,All,All,16-34 years,All,All
2015,24.12,All,All,35-64 years,All,All
2015,24.5,All,All,35-64 years,All,All
2015,23.83,All,All,16-34 years,All,All
2015,24.42,All,All,16-34 years,All,All
2015,24.57,All,All,16-34 years,All,All
2015,23.11,All,All,16-34 years,All,All
2015,23.9,All,All,16-34 years,All,All
2015,24.86,All,All,35-64 years,All,All
2015,24.81,All,All,35-64 years,All,All
2016,23.94,All,All,65 years and over,All,All
2015,24.51,All,All,35-64 years,All,All
2015,24.25,All,All,35-64 years,All,All
2015,25.01,All,All,16-34 years,All,All
2016,24.32,All,All,16-34 years,All,All
2014,24.02,All,All,65 years and over,All,All
2015,24.27,All,All,35-64 years,All,All
2015,24.67,All,All,16-34 years,All,All
2015,24.05,All,All,35-64 years,All,All
2015,24.33,All,All,35-64 years,All,All
2016,23.83,All,All,35-64 years,All,All
2015,24.78,All,All,35-64 years,All,All
